"";"icl"
"1";-255530,232129411
"2";-151484,111080303
"3";-77873,8402076115
"4";-65128,1796635958
"5";-52806,1516800937
"6";-45412,8706809064
"7";-38490,311499439
"8";-29537,8610910852
"9";-26585,6713052474
"10";-23368,1880110492
"11";-20749,247723988
"12";-19788,4789489932
"13";-18668,2220495924
"14";-17229,8127220706
"15";-16584,6529734909
"16";-16039,3911341328
"17";-14666,7740931318
"18";-14219,7981303868
"19";-13152,5026747517
"20";-12821,0369163701
"21";-12079,484291866
"22";-11684,7662520927
"23";-11436,7267110281
"24";-11211,8060732766
"25";-11037,728548347
"26";-11116,3107998843
"27";-11247,9161315478
"28";-11279,4442017125
"29";-11465,2021518802
"30";-11587,633666316
"31";-11735,8336712833
"32";-11846,5551865412
"33";-11953,1407914296
"34";-12246,497656895
"35";-12585,9222855772
"36";-12897,9897595005
"37";-13264,5498539056
"38";-13647,2176244935
"39";-14021,1035201531
"40";-14438,0877393122
"41";-14901,625915892
"42";-15399,5392180177
"43";-15872,9594468423
"44";-16350,479707585
"45";-16849,6185080466
"46";-17401,0094785658
"47";-17978,1725054695
"48";-18543,788067597
"49";-19122,0772097182
"50";-19728,0475459271
