codeFW;TL;trophie
ACM::Glomeromyc;2;ACM::
Algivorous::Protist;2;Algiv
Bacterivorous::Nematode;2;Bacte
Bacterivorous::Protist;2;Bacte
Coprophage::Insect;1;Copro
Coprotroph::Ascomycota;1;Copro
Coprotroph::Basidiomycota;1;Copro
Decomposers::Archae;1;Decom
Decomposers::Bacterie;1;Decom
Fungivorous::Astigmata;2;Fungi
Fungivorous::Insect;2;Fungi
Fungivorous::Nematode;2;Fungi
Fungivorous::Protist;2;Fungi
Geophageous::Lumb;1;Geoph
Hyperparasitoid::Hyphochytrium;5;Hyper
Hyperparasitoid::Woronina;5;Hyper
Lignotroph::Fungi;1;Ligno
Mammifere;3;Phyto
Miners::Bacterie;1;Decom
Non.selective::Endeostigmata;4;Non.s
Non.selective::Forficulidae;5;Non.s
Non.selective::Myrmica;3;Non.s
Non.selective::Nematode;3;Non.s
Non.selective::Tardigrade;2;Photo
Non.selective::Uropoda;4;Non.s
Opportunists::Bacterie;1;Decom
Parasitic::Alternaria;2;Paras
Parasitic::Anoplophrya;2;Paras
Parasitic::Aphidius;4;Paras
Parasitic::Chondrostereum;2;Paras
Parasitic::Cladosporium;2;Paras
Parasitic::Cochlonema;2;Paras
Parasitic::Coniobolus;2;Paras
Parasitic::Cystobasidium;2;Paras
Parasitic::Entomopath;4;Paras
Parasitic::Entyloma;2;Paras
Parasitic::Gaeumannomyces;2;Paras
Parasitic::Gliricola;4;Paras
Parasitic::Glossiphoniidae;2;Paras
Parasitic::Itersonilia;2;Paras
Parasitic::Leptosphaeria;2;Paras
Parasitic::Magnaporthe;2;Paras
Parasitic::Malassezia;4;Paras
Parasitic::Monocystis;2;Paras
Parasitic::Olpidium;2;Paras
Parasitic::Phoma;2;Paras
Parasitic::Polysiphoniae;2;Paras
Parasitic::Protomyces;2;Paras
Parasitic::Pythium;2;Paras
Parasitic::Rhizoctonia_s;2;Paras
Parasitic::Rhizoctonia_z;4;Paras
Parasitic::Rhizoglyphus;2;Paras
Parasitic::Rhizophydium;2;Paras
Parasitic::Rhizophydium_p;2;Paras
Parasitic::Romanomermis;4;Paras
Parasitic::Synchitrium;2;Paras
Parasitic::Synchytrium;2;Paras
Parasitic::Syncistis (parasite d'Aeschne … insecte…);2;Paras
Parasitic::Tetranychus;2;Phyto
Parasitic::Thripinae;2;Phyto
Parasitic::Trypanosomatidae;4;Paras
Parasitic:Limonomyces;2;Paras
Parasitic_p::Nematode;2;Paras
Pathogen::Aphanomyces;4;Paras
Pathogen::Polymyxa;4;Paras
Pathogen::Pythium;4;Paras
Pathogen::Pythium_m;4;Paras
Pathogen::Spongospora;4;Paras
Phototroph::Algae;1;Photo
Phototroph::Apiaceae;1;Photo
Phototroph::Asteraceae;1;Photo
Phototroph::Brassicaceae;1;Photo
Phototroph::Caryophyllaceae;1;Photo
Phototroph::Coccomyxa;1;Photo
Phototroph::Fabaceae;1;Photo
Phototroph::Fagales;1;Photo
Phototroph::non-legume;1;Photo
Phototroph::Pinales;1;Photo
Phototroph::Poaceae;1;Photo
Phototroph::Polygonaceae;1;Photo
Phototroph::Ranunculales;1;Photo
Phototroph::Salicaceae;1;Photo
Phototroph::Solanaceae;1;Photo
Phototroph::Taxaceae;1;Photo
Phototroph::Urticaceae;1;Photo
Phytophage::Acyrthosiphon;2;Phyto
Phytophage::Algae;2;Phyto
Phytophage::Aphididae;2;Phyto
Phytophage::Aphis;2;Phyto
Phytophage::Aulacorthum;2;Phyto
Phytophage::Barynotus;2;Phyto
Phytophage::Elateridae;2;Phyto
Phytophage::Macrosiphini;2;Phyto
Phytophage::Myzus;2;Phyto
Phytophage::Nematode;2;Phyto
Phytophage::Noctua;2;Phyto
Phytophage::Otiorhynchus ;2;Phyto
Phytophage::Pemphigus;2;Phyto
Phytophage::Rhopalosiphum;2;Phyto
Phytophage::Sitona;2;Phyto
Pred1attach::Protist;2;Pred1
Pred1free::Protist;2;Pred1
Pred2attach::Protist;3;Pred2
Pred2free::Protist;3;Pred2
Pred3::Mesostigmata;4;Pred3
Pred3::Nematode;4;Pred3
Pred3::Pseudosc;4;Pred3
Pred4::Carabidae;5;Pred4
Pred4::Chilopode;5;Pred4
Pred4::Robertus;5;Pred4
Resource::Decaying_wood;0;Resou
Resource::Dung;0;Resou
Resource::Litter;0;Resou
Resource::MOS;0;Resou
Saprofungivore::Collembole;1;Sapro
Saprogeophageous::Lumb;1;Sapro
Saprophage::Diplopode;1;Sapro
Saprophage::Diploure;1;Sapro
Saprophage::Diptere;1;Sapro
Saprophage::Oribate;1;Sapro
Saprophageous::Enchy;1;Sapro
Saprophageous::Lumb;1;Sapro
Saprotoph::Zoopagales;1;Sapro
Saprotroph::Chytridium;1;Sapro
Saprotroph::Endogone;2;Symbi
Saprotroph::Endogone.lactiflua;2;Symbi
Saprotroph::Fungi;1;Sapro
Saprotroph::Multiclavula ;2;Symbi
Saprotroph::Sistronema;1;Sapro
unknown::Bacterie;1;Decom
unknown::Nematode;2;unkno
